4/13/12,NB269 now arriving at Menlo Park. T18:21,,,,,,,
4/13/12,In MP still no trains thru either dir since collision T18:10,,,,,,,
4/13/12,Station announcement: all NB and SB trains 10-40 mins late. At least it's not indefinite anymore. T17:59,,,,,,,
4/13/12,Trains are protecting Ravenswood Ave due to malfunction T17:59,,,,,,,
4/13/12,Car that was hit at Menlo Park is now off the tracks. T17:55,,,,,,,
4/13/12,NB275 stopping in Sunnyvale and holding there until further notice. T17:47,,,,,,,
4/13/12,SB train from before 5:20 still holding at Redwood City. No NB 267 yet... T17:39,,,,,,,
4/13/12,SB264 is the one that hit the car. No ETA to service restoration.,,,,,,,
4/13/12,Correction sb270 to Hillsdale T17:20,,,,,,,
4/13/12,Sb266 will go to San Carlos. T17:19,,,,,,,
4/13/12,Sb270 will go to Hayward Park. T17:19,,,,,,,
4/13/12,MP collision appears to be non-fatal; no trains moving either track T17:18,,,,,,,
4/13/12,"Car hit by train, Menlo T17:16",,,,,,,
4/13/12,"Radio said ""that's a relief"" ... any update? Sounds like trains are moving... T17:15",,,,,,,
4/13/12,SB train has hit a car at Menlo Park. T17:09,,,,,,,
4/13/12,Want to know if your¾@Caltrain¾car will be full of Giants fans?http://isthereagiantsgametoday.com¾T09:37,,,,,,,
4/13/12,SB332 crossing device malfunction¾@sancarlos. Slight delay T09:28,,,,,,,
4/12/12,NB281 running late - NB383 passing it at Millbrae T19:07,,,,,,,
4/12/12,Location NB 285? T19:07,,,,,,,
4/12/12,NB 383 - 5 min late @ MV T18:44,,,,,,,
4/11/12,"SB332 was sent on wrong track, now waiting outside of SF for NB train to pass T09:09",,,,,,,
4/10/12,Nb285 left Menlo Park 8 minutes late T19:05,,,,,,,
4/10/12,"Seems like trains are moving, slowly. Especially around Charleston Ave. T19:02",,,,,,,
4/10/12,Oak grove ave (milepost 15.9) malfunction - speed restriction T18:58,,,,,,,
4/10/12,Trains told to watch* T18:56,,,,,,,
4/10/12,"SB382 moving again, conductor says police action at San Antonio/Cal Ave for a trespasser T18:55",,,,,,,
4/10/12,Police told to watch for police/trespasser around Charleston Rd/San Antonio T18:54,,,,,,,
4/10/12,Nb285 told to hold at San Antonio (currently at MV). T18:51,,,,,,,
4/10/12,Incident at palo Alto. Everything shut down. Not sure if it's a fatality. T18:50,,,,,,,
4/10/12,NB 277 leaving PA 5 mins late behind NB379 which left PA about 8 mins late T18:22,,,,,,,
4/10/12,NB275 6 mins late departing mtn view T17:52,,,,,,,
4/10/12,275 MIA At Lawrence T17:43,,,,,,,
4/10/12,SB216 6min late at San Carlos T07:58,,,,,,,
4/10/12,SB314 just leaving hillsdale 8mn late T07:47,,,,,,,
4/9/12,Nb285 left Lawrence 4 minutes late T18:44,,,,,,,
4/9/12,Light rail returning to service out of mtn view shortly. T08:12,,,,,,,
4/9/12,VTA light rail connection is hosed at MV due to accident. Bus bridge in effect. T08:10,,,,,,,
4/9/12,Speed restriction in effect (15mph) Whipple Ave in RWC - malfunction. T07:57,,,,,,,
4/9/12,"SB 314 old equip boarding track 10 in SF. Note SB 216 also boarding track 9. 7:14 to your left, 7:19 to your right. T07:12",,,,,,,
4/7/12,SB 432 is six min late at San Antonio T14:31,,,,,,,
4/7/12,It is not know if the person is alive or dead; ambulance is apparently on-scene T12:04,,,,,,,
4/7/12,RT¾@Caltrain_News: At 11:51 a.m.a person on the tracks was struck by NB 143 at Main Street in RWC T12:02,,,,,,,
4/5/12,NB373 down 9 leaving MV. T17:46,,,,,,,
4/5/12,Nb373 ~6 min late; nb275 left Lawrence 5 min late T17:44,,,,,,,
4/5/12,NB 267 arr 4 min late at San Carlos T17:33,,,,,,,
4/5/12,NB155 left Palo Alto 6 minutes late T14:49,,,,,,,
4/5/12,Still small delays at 3rd Ave crossing in San Mateo T08:26,,,,,,,
4/5/12,SB 314 on the move again after a mx issue near Redwood City. Arriving Palo Alto approx. 9 minutes late T07:58,,,,,,,
4/5/12,SB 314 departed Hillsdale 6 min late T07:46,,,,,,,
4/5/12,Crossing malfunction at 3rd Ave in San Mateo causing small delays in both directions T07:42,,,,,,,
4/5/12,Sb314 stopped just south of San Mateo station T07:42,,,,,,,
4/2/12,NB285 left 2min EARLY @ San Carlos T19:04,,,,,,,
4/2/12,SB260 wallet found in rear bike car. With conductor. T16:52,,,,,,,
4/2/12,NB 365 overshot MV. Backing up now 4 min down T16:40,,,,,,,
4/2/12,FYI - Clipper machines at 4th & King are not beeping when you tag. T07:17,,,,,,,
3/30/12,MN 139 down 13 min at san carlos T11:05,,,,,,,
3/29/12,NB225 8 min behind schedule T08:10,,,,,,,
3/28/12,NB 191 departed RWC 13 mins late. T20:22,,,,,,,
3/28/12,NB 191 stopped for no reason between MP and RWC T20:11,,,,,,,
3/28/12,230 is 8 minutes late in PA T09:33,,,,,,,
3/24/12,SB450 5 mins late¾@22nd¾T22:25,,,,,,,
3/23/12,Nb285 left Lawrence 4 minutes late T18:43,,,,,,,
3/22/12,NB191 dep RWC 7m late T20:16,,,,,,,
3/22/12,NB 227 9 min late leaving Hillsdale T09:03,,,,,,,
3/21/12,NB267 is 8 minutes late at San Carlos T17:38,,,,,,,
3/21/12,"""SC""is ambiguous. Can be san carlos or santa clara. T10:16",,,,,,,
3/21/12,Sb230 running 12 min late announcement T10:12,,,,,,,
3/21/12,Sb332 running 13 min late announcement T10:11,,,,,,,
3/21/12,Left 18 min late 10:08 Re: Sb134 running 17 min late according to announcement in San Carlos T10:10,,,,,,,
3/21/12,Correction NB 135 not 132 arrived SC 10:02 T10:07,,,,,,,
3/21/12,132 arr late SC 10:02 T10:03,,,,,,,
3/21/12,Sb134 running 17 min late according to announcement in San Carlos T10:00,,,,,,,
3/21/12,NB 135 dep Menlo Park 8:53 - 9 min late T09:54,,,,,,,
3/21/12,SB 332 left Menlo Park 9:41 - 6 min late T09:42,,,,,,,
3/21/12,Northbound 135 departing Sunnyvale 8 minutes late T09:32,,,,,,,
3/21/12,NB 135 departed Lawrence 6 min late T09:27,,,,,,,
3/21/12,Location NB 233? T09:25,,,,,,,
3/21/12,SB 226 departing San Mateo 10 mins late T08:53,,,,,,,
3/21/12,SB220 arr MP 8:39 instead of 8:23 T08:40,,,,,,,
3/21/12,Problems w:5 crossings in San Bruno area caused speed restrictions & relays. As told on 220. T08:38,,,,,,,
3/21/12,On SB 220 we are told 220 won't be held at RWC. 322 remains behind 220 T08:37,,,,,,,
3/21/12,SB220 >10 min late at SC. Will 220 be held S of RWC to let SB322 pass? T08:25,,,,,,,
3/21/12,"""below RWC""? Ambiguous. Say N or S, or before/after. T08:23",,,,,,,
3/21/12,NB221 combined with NB227. Making all stops below RWC. T08:14,,,,,,,
3/21/12,"SB216 dep San Carlos 22 min late. (Real time, not media time) T08:13",,,,,,,
3/21/12,SB 220 left Millbrae 8:12 or 11 min late. Slow through San Bruno. T08:13,,,,,,,
3/21/12,Someone held door so NB225 left Sunnyvale 11 min late T08:12,,,,,,,
3/21/12,NB225 leaving Sunnyvale 9 min late T08:10,,,,,,,
3/21/12,SB 216 departed San Mateo 20 mins late T08:03,,,,,,,
3/21/12,Platform announcement says SB 216 is 10 mins late. SB 218 seems at least as late so far. T08:03,,,,,,,
3/21/12,Sb216 left Burlingame 20 minutes late T07:58,,,,,,,
3/21/12,"Speed restriction in effect still downgraded from 20mph to ""walking speed"" MP 11.1-11.2 T07:50",,,,,,,
3/21/12,Speed restriction in effect 20mph between milepost 11.1-11.2 T07:40,,,,,,,
3/21/12,They're also single tracking. Unsure of exactly where. T07:34,,,,,,,
3/21/12,NB221 left SC 6 min late T07:32,,,,,,,
3/21/12,Ignore prev post re BB 312 - turns out I'm on the Millbrae 7:01AM and not 7:17 AM train! T07:31,,,,,,,
3/21/12,More specifically: there are *5* protections in effect. T07:28,,,,,,,
3/21/12,Multiple protections: Linden up to & including Angus Ave T07:27,,,,,,,
3/21/12,312 SB BB fullish late and left Millbrae after a hold (loud talker on 2nd car 2) T07:25,,,,,,,
3/21/12,trains asked to protect Linden Ave. (MP10.2) T07:09,,,,,,,
3/20/12,NB281 40 min late out of RWC T19:13,,,,,,,
3/20/12,NB281 now 34 min late. NB285 now 10 min late. T19:01,,,,,,,
3/20/12,"Sorry 'bout your &$@%ing dinner, but please keep tweets focused on the trains. Thx. T18:50",,,,,,,
3/20/12,NB281(+277) is now 27 minutes late T18:48,,,,,,,
3/20/12,Cancelled train + local service + running 27 min late... way to &$@% up an anniversary dinner. Thx. T18:45,,,,,,,
3/20/12,NB277/281 is 13 minutes late T18:34,,,,,,,
3/20/12,NB277 out of service. NB281 is now local combo (277+281). NB379 is running 10min late. T18:26,,,,,,,
3/20/12,NB 369 emergency stop before Hillsdale to avoid hitting a car T17:16,,,,,,,
3/20/12,"NB369 emergency stop to avoid hitting a vehicle just north of Whipple Ave in RWC, should be underway within 5 min after air tests. T17:14",,,,,,,
3/20/12,Sb134 left San Carlos 9 min late 9:59 T10:01,,,,,,,
3/19/12,NB 379 left PA 9 mins late T18:15,,,,,,,
3/19/12,Nb277 also 7 mins late from MTV T18:11,,,,,,,
3/19/12,Nb379 8 mins late leaving Mtn view T18:07,,,,,,,
3/19/12,383 experiencing sporadic loss of HEP. No major service disruptions. Leaving MP down 3 or 4m. T17:50,,,,,,,
3/19/12,SB 368 first car (#223) is very sauna like T16:28,,,,,,,
3/17/12,"lost cellphone on SB #228 Friday stolen, thief called the Philippines, #63 915 906 2230 T22:34",,,,,,,
3/17/12,SB 438 is 31 minutes late at sunnyvale T18:06,,,,,,,
3/17/12,Sb440 cleared to depart. Person at Bruno cleared. T17:40,,,,,,,
3/17/12,Signal problems again. Sb348 still stopped. T17:39,,,,,,,
3/17/12,Unrelated: sb438 stopped south of Palo Alto T17:37,,,,,,,
3/17/12,Report of someone sitting on tracks at San Bruno T17:34,,,,,,,
3/16/12,Electronic signs at Sunnyvale are out of service. T18:18,,,,,,,
3/16/12,Sb216 5 min late at San Mateo T07:47,,,,,,,
3/16/12,"SB312/314 departed Millbrae at 7:37am (standing room only) - remaining stops: Hillsdale, RWC, MP, PA, MV, and SJ. T07:37",,,,,,,
3/16/12,"SB314 (leaving SF now) just announced it will be making all 312/314 stops, so sounds like 312 was cancelled. T07:17",,,,,,,
3/16/12,"SB312 still sitting in SF with doors open, conductor said mech. issue, may have to switch trainsets. T07:09",,,,,,,
3/15/12,Nb197 left San Jose 10 minutes late due to Sharks shoot-out win. T22:41,,,,,,,
3/15/12,SB192 still detained pending witnesses being transported to suspects location for an ID. T22:13,,,,,,,
3/15/12,SB192 parked at San Carlos waiting for police. Laptop stolen from passenger. T21:34,,,,,,,
3/15/12,Great. Some douche was riding ON THE SIDE of 267. OUTSIDE! T17:48,,,,,,,
3/15/12,Left a black trench coat on NB225/227. Please turn into lost and found T09:04,,,,,,,
3/15/12,Sb218 left PA 40 minutes late. :-/ T08:58,,,,,,,
3/15/12,SB226 is 8min late at San Carlos T08:58,,,,,,,
3/15/12,SB322 arr RWC 25m late T08:56,,,,,,,
3/15/12,NB225/227 conductor announcement: going straight from Palo Alto to 4th and king due to generator problems T08:52,,,,,,,
3/15/12,Lights out on NB225/227: stopping at PA T08:42,,,,,,,
3/15/12,SB220 left rwc down 19. T08:38,,,,,,,
3/15/12,SB216 dp MP 37min late T08:36,,,,,,,
3/15/12,SB226 departed 4th&king about 5mn late due to those signal problems. But conductors expect to make it up. T08:28,,,,,,,
3/15/12,SB323 arr Millbrae 11m late T08:28,,,,,,,
3/15/12,NB329 baby bullet just stopped at Sunnyvale and packed in like sardines. Station emptying T08:18,,,,,,,
3/15/12,"SB216 35 mins late, now at San Mateo T08:17",,,,,,,
3/15/12,Sb218 left South City 35 minutes late. T08:16,,,,,,,
3/15/12,"NOW anncment is saying 30-35 mins, come on Caltrain figure it out T08:11",,,,,,,
3/15/12,SB322 dep 22nd 4m late T08:09,,,,,,,
3/15/12,Nb323 leaving MV 10 min late & SRO in some cars T08:09,,,,,,,
3/15/12,Announcement now saying 25-30 mins delay both NB and SB T08:04,,,,,,,
3/15/12,@caltrain_news¾says signal problems have been fixed. T08:04,,,,,,,
3/15/12,Sb218 on the move again... I think T08:01,,,,,,,
3/15/12,Looks like some NB trains are moving. Just saw 211 go by tunnels near Paul Ave T08:00,,,,,,,
3/15/12,Nb225/227 will be combined leaving San Jose. Both train's stops. T07:56,,,,,,,
3/15/12,NB and SB trains experiencing delays of 15 - 25 minutes due to signal problems T07:55,,,,,,,
3/15/12,Never mind. Sb218 stopped again. At this rate... we might get there next year. T07:52,,,,,,,
3/15/12,Sb218 inching along now. Not sure if signal issue is fixed. T07:50,,,,,,,
3/15/12,"Station anncment: due to signal issues, expect delays 10-20 mins T07:48",,,,,,,
3/15/12,"SB 314 still on the move, left Hillsdale about on time T07:44",,,,,,,
3/15/12,"""Digicon"" out of service north of De la Cruz. All trains stopped. T07:43",,,,,,,
3/15/12,Conductor says signal system is down for everyone. All trains are stopped. T07:42,,,,,,,
3/15/12,Sb218 stopped between tunnels at Paul Ave T07:37,,,,,,,
3/15/12,Signal issues for sb218. Not sure if this I affecting other trains. T07:35,,,,,,,
3/14/12,Nb285 left Lawrence 4 minutes late T18:45,,,,,,,
3/14/12,NB 227 five min late at palo alto T08:41,,,,,,,
3/14/12,Nb 227 was 7 min late leaving Cal Ave T08:40,,,,,,,
3/14/12,NB225 leaving Sunnyvale 9 min late T08:10,,,,,,,
3/13/12,NB277 dp RWC 7min late - Door probleml T18:34,,,,,,,
3/13/12,NB159 6m late dep MP T15:49,,,,,,,
3/13/12,Sb218 left San Carlos 6 minutes late T08:15,,,,,,,
3/13/12,Nb211 11 minutes late per sign T07:36,,,,,,,
3/13/12,SB206 8m late dep Hillsdale T06:48,,,,,,,
3/13/12,SB206 5m late dep 22nd; no reason given T06:24,,,,,,,
3/12/12,RT¾@Caltrain_News¾Bus bridge will continue for SB276 T18:54,,,,,,,
3/12/12,SB270 ending at Diridon with bus bridge to Gilroy T18:00,,,,,,,
3/12/12,MT¾@caltrain_news¾SB158 will stop at Dirdon. bus bridge to Gilroy. Unknown if 270 and 276 will also stop there. T15:03,,,,,,,
